Feature,Mean Sensitivity,Std Sensitivity,Target
Donor Semen,0.09895972,0.0058890595,Fertilization
Semen_Collection_Method,0.087071866,0.0061019566,Fertilization
Semen_Volume (ml),0.083159156,0.0052759373,Fertilization
Sperm_Concentration (million/ml),0.07774675,0.00876094,Fertilization
Sperm_Prog_Motility (%),0.07345018,0.008745452,Fertilization
Sperm_Morphology (%),0.06907515,0.0063992417,Fertilization
Round_Cells (million/ml),0.06530703,0.005916319,Fertilization
Male_Infertility,0.06375093,0.005799859,Fertilization
Female_ Infertility,0.061800707,0.0060963486,Fertilization
Follicles_Collected (#),0.059830092,0.0055180914,Fertilization
Male_Age (years),0.058098417,0.0057964185,Fertilization
Female_Age (years),0.056262635,0.005420018,Fertilization
Male_Tobacco,0.053803723,0.0056582885,Fertilization
Male_Alcohol,0.048418954,0.0061455225,Fertilization
Donor Semen,0.114441276,0.00804862,Blastulation
Semen_Collection_Method,0.08795002,0.010598802,Blastulation
Semen_Volume (ml),0.077168755,0.008599271,Blastulation
Sperm_Concentration (million/ml),0.07263744,0.008009009,Blastulation
Sperm_Prog_Motility (%),0.06881624,0.007248938,Blastulation
Sperm_Morphology (%),0.06608282,0.0070371623,Blastulation
Round_Cells (million/ml),0.06261435,0.008297493,Blastulation
Male_Infertility,0.058004327,0.0088302335,Blastulation
Female_ Infertility,0.05509282,0.007569171,Blastulation
Follicles_Collected (#),0.051626384,0.006591885,Blastulation
Male_Age (years),0.047998514,0.007022158,Blastulation
Female_Age (years),0.044921517,0.006086293,Blastulation
Male_Tobacco,0.041088082,0.006404362,Blastulation
Male_Alcohol,0.037973616,0.006748838,Blastulation
