Variable 1,Variable 2,Pearson r,p-value,Significant
Male_Age (years),Female_Age (years),0.477,0.0,Yes
Sperm_Concentration (million/ml),Sperm_Prog_Motility (%),0.375,0.0,Yes
Male_Tobacco,Male_Alcohol,0.344,0.0,Yes
Male_Infertility,Female_Age (years),0.275,0.0,Yes
Male_Infertility,Male_Age (years),0.258,0.0,Yes
Male_Infertility,Female_ Infertility,0.246,0.0001,Yes
Sperm_Concentration (million/ml),Sperm_Morphology (%),0.239,0.0001,Yes
Sperm_Prog_Motility (%),Male_Alcohol,0.192,0.0022,Yes
Sperm_Prog_Motility (%),Sperm_Morphology (%),0.184,0.0033,Yes
Semen_Collection_Method,Female_Age (years),0.173,0.0057,Yes
Semen_Volume (ml),Follicles_Collected (#),0.155,0.0135,Yes
Female_ Infertility,Female_Age (years),0.143,0.0232,Yes
Sperm_Morphology (%),Male_Infertility,0.139,0.027,Yes
Sperm_Concentration (million/ml),Male_Infertility,0.132,0.0358,Yes
Female_ Infertility,Male_Age (years),0.127,0.0429,Yes
Donor Semen,Female_ Infertility,0.121,0.0544,No
Semen_Collection_Method,Male_Age (years),0.12,0.0563,No
Donor Semen,Sperm_Morphology (%),0.117,0.0625,No
Sperm_Prog_Motility (%),Male_Infertility,0.117,0.0635,No
Sperm_Concentration (million/ml),Female_Age (years),0.111,0.0776,No
Semen_Collection_Method,Male_Infertility,0.111,0.078,No
Sperm_Morphology (%),Female_Age (years),0.109,0.0842,No
Round_Cells (million/ml),Male_Tobacco,0.103,0.1017,No
Semen_Volume (ml),Sperm_Prog_Motility (%),0.101,0.11,No
Round_Cells (million/ml),Male_Alcohol,0.1,0.1115,No
Sperm_Prog_Motility (%),Male_Tobacco,0.096,0.128,No
Female_ Infertility,Male_Tobacco,0.087,0.1692,No
Semen_Volume (ml),Sperm_Morphology (%),0.086,0.1723,No
Sperm_Concentration (million/ml),Male_Alcohol,0.079,0.2088,No
Donor Semen,Male_Age (years),0.068,0.2837,No
Sperm_Morphology (%),Male_Tobacco,0.067,0.2895,No
Sperm_Prog_Motility (%),Female_Age (years),0.067,0.2917,No
Round_Cells (million/ml),Female_ Infertility,0.06,0.338,No
Sperm_Concentration (million/ml),Male_Tobacco,0.056,0.3746,No
Semen_Collection_Method,Female_ Infertility,0.055,0.3817,No
Donor Semen,Female_Age (years),0.053,0.4013,No
Sperm_Morphology (%),Male_Alcohol,0.053,0.3972,No
Sperm_Concentration (million/ml),Follicles_Collected (#),0.048,0.4427,No
