Variable 1,Variable 2,Pearson r,p-value,Significant
Male_Age (years),Female_Age (years),0.477,0.0,Yes
Sperm_Concentration (million/ml),Sperm_Prog_Motility (%),0.375,0.0,Yes
Male_Tobacco_yes,Male_Alcohol_yes,0.33,0.0,Yes
Female_Age (years),Male_Infertility_secondary,0.275,0.0,Yes
Male_Age (years),Male_Infertility_secondary,0.258,0.0,Yes
Semen_Volume (ml),Semen_Collection_Method_fresh,0.257,0.0,Yes
Male_Infertility_secondary,Female_ Infertility_secondary,0.246,0.0001,Yes
Sperm_Concentration (million/ml),Sperm_Morphology (%),0.239,0.0001,Yes
Fertilization Rate (%),Blastulation_Rate (%),0.217,0.0005,Yes
Follicles_Collected (#),Blastulation_Rate (%),0.212,0.0007,Yes
Sperm_Prog_Motility (%),Male_Alcohol_yes,0.192,0.0022,Yes
Sperm_Prog_Motility (%),Sperm_Morphology (%),0.184,0.0033,Yes
Female_Age (years),Semen_Collection_Method_thawed,0.181,0.004,Yes
Semen_Collection_Method_fresh,Blastulation_Rate (%),0.181,0.0038,Yes
Semen_Volume (ml),Blastulation_Rate (%),0.174,0.0055,Yes
Semen_Collection_Method_fresh,Male_Alcohol_yes,0.158,0.0116,Yes
Sperm_Prog_Motility (%),Semen_Collection_Method_fresh,0.155,0.0135,Yes
Semen_Collection_Method_thawed,Male_Infertility_secondary,0.155,0.0134,Yes
Semen_Volume (ml),Follicles_Collected (#),0.155,0.0135,Yes
Female_Age (years),Female_ Infertility_secondary,0.143,0.0232,Yes
Sperm_Morphology (%),Male_Infertility_secondary,0.139,0.027,Yes
Male_Age (years),Semen_Collection_Method_thawed,0.135,0.0322,Yes
Sperm_Concentration (million/ml),Male_Infertility_secondary,0.132,0.0358,Yes
Male_Age (years),Female_ Infertility_secondary,0.127,0.0429,Yes
Donor Semen_yes,Female_ Infertility_secondary,0.121,0.0544,No
Donor Semen_yes,Fertilization Rate (%),0.117,0.0638,No
Sperm_Prog_Motility (%),Male_Infertility_secondary,0.117,0.0635,No
Sperm_Morphology (%),Donor Semen_yes,0.117,0.0625,No
Sperm_Prog_Motility (%),Fertilization Rate (%),0.115,0.0673,No
Sperm_Concentration (million/ml),Female_Age (years),0.111,0.0776,No
Female_Age (years),Fertilization Rate (%),0.11,0.0807,No
Round_Cells (million/ml),Blastulation_Rate (%),0.11,0.0801,No
Sperm_Morphology (%),Female_Age (years),0.109,0.0842,No
Follicles_Collected (#),Semen_Collection_Method_fresh,0.108,0.085,No
