Variable,n,Mean ± SD,Median (IQR),Range,Distribution
Fertilization Rate (%),253,59.5 ± 26.0,57.0 (41.0–77.0),0.0–100.0,Non-parametric
Blastulation_Rate (%),253,38.0 ± 38.3,33.0 (0.0–71.0),0.0–100.0,Non-parametric
Male_Age (years),246,39.4 ± 6.1,39.0 (35.0–43.0),25.0–72.0,Non-parametric
Female_Age (years),251,35.0 ± 3.8,35.0 (32.0–38.0),25.0–44.0,Non-parametric
Semen_Volume (ml),251,2.4 ± 1.4,2.1 (1.3–3.0),0.3–7.5,Non-parametric
Sperm_Concentration (million/ml),205,56.2 ± 58.7,34.0 (13.0–86.0),1.0–272.0,Non-parametric
Sperm_Prog_Motility (%),250,48.9 ± 26.4,50.0 (30.0–70.0),0.0–98.0,Non-parametric
Sperm_Morphology (%),212,5.6 ± 3.1,5.0 (4.0–7.0),0.0–30.0,Non-parametric
Round_Cells (million/ml),4,3.2 ± 4.5,1.0 (1.0–3.2),1.0–10.0,Insufficient sample
Follicles_Collected (#),253,11.3 ± 8.4,9.0 (5.0–15.0),1.0–43.0,Non-parametric
