Fertilization Rate (%),Blastulation_Rate (%)
0.45,0.8
0.25,0.0
0.5,0.0
0.64,0.57
1.0,1.0
0.5,1.0
0.5,0.5
0.6,0.0
0.6,0.0
0.7,0.86
0.57,0.5
0.5,0.0
0.25,0.0
0.17,0.0
0.47,0.86
0.5,0.0
1.0,0.8
1.0,0.0
1.0,0.0
1.0,0.0
0.2,0.0
0.75,0.33
0.38,0.0
1.0,0.0
0.56,1.0
0.5,0.0
0.25,0.67
0.09,0.0
0.5,0.0
1.0,0.0
0.5,0.0
0.33,0.25
0.8,0.5
0.5,0.0
0.38,0.0
0.89,0.75
0.53,0.63
0.67,0.0
1.0,0.0
0.5,0.0
0.75,1.0
0.5,0.0
0.6,0.33
0.64,0.33
0.75,0.0
0.67,0.17
1.0,0.4
0.56,0.78
0.4,1.0
1.0,0.67
0.29,0.0
0.56,1.0
0.76,1.0
0.5,0.67
0.38,0.38
0.88,0.29
0.25,0.0
0.67,0.0
0.4,0.0
0.5,0.0
0.5,0.33
0.43,0.0
0.5,0.0
0.8,1.0
0.33,0.0
1.0,1.0
1.0,0.0
0.38,0.33
0.17,0.0
0.6,0.67
0.6,0.0
0.5,0.25
0.3,0.67
0.4,0.25
0.47,0.63
0.43,0.33
1.0,1.0
1.0,0.25
0.6,0.0
0.33,0.0
1.0,1.0
0.13,1.0
0.5,0.75
1.0,0.0
1.0,0.0
0.31,0.25
0.79,0.53
0.17,0.0
0.25,0.0
0.18,0.0
0.67,0.0
0.67,0.0
0.33,1.0
0.2,0.33
0.28,0.8
0.64,0.14
1.0,0.0
1.0,0.0
0.5,0.6
0.5,0.0
0.58,0.43
0.67,0.5
0.54,0.29
0.67,0.75
0.57,0.25
0.5,0.64
0.56,0.8
0.6,1.0
0.56,0.2
0.67,1.0
0.6,0.0
0.25,0.0
0.67,0.0
0.62,0.75
0.33,0.33
0.5,0.0
1.0,0.0
1.0,0.5
0.83,0.4
0.67,0.5
0.33,0.0
0.77,0.63
0.75,0.0
0.71,0.4
0.89,0.75
0.33,0.5
0.88,0.36
0.54,0.71
0.57,1.0
0.33,0.0
0.25,0.5
0.86,0.67
0.47,0.89
0.4,0.25
0.47,1.0
0.5,0.0
0.67,0.0
1.0,0.0
0.33,0.0
0.43,0.5
0.64,0.71
1.0,0.0
0.5,0.0
0.6,0.67
0.73,0.75
0.56,0.0
0.25,1.0
0.67,0.0
0.57,0.5
0.5,0.0
0.75,1.0
1.0,0.33
0.67,0.83
0.64,0.71
0.5,1.0
1.0,0.0
1.0,0.75
1.0,1.0
0.83,1.0
1.0,0.55
1.0,0.0
0.31,0.0
0.67,0.43
0.67,0.57
0.86,0.67
0.44,0.75
1.0,1.0
0.73,0.64
0.5,0.0
0.41,0.67
0.45,0.6
0.6,1.0
0.67,1.0
0.67,0.5
0.9,0.89
0.4,0.0
0.5,0.0
0.33,0.0
0.33,0.0
1.0,0.25
1.0,0.0
0.57,0.75
0.8,1.0
0.88,1.0
0.5,1.0
0.73,0.5
0.4,0.43
0.4,1.0
0.8,1.0
0.67,0.0
0.67,1.0
0.25,0.0
0.5,0.0
0.33,0.0
1.0,1.0
0.5,0.0
1.0,0.0
0.25,0.5
0.56,0.78
0.75,0.0
0.58,0.14
0.65,0.82
0.56,1.0
0.56,0.78
0.75,0.56
0.33,0.0
0.5,0.0
1.0,1.0
0.75,0.83
0.8,0.25
0.0,0.0
0.5,0.6
1.0,0.0
0.1,0.0
0.5,0.5
0.38,0.0
1.0,0.0
0.0,0.0
0.0,0.0
0.33,0.0
0.64,0.14
0.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.17,0.0
0.78,0.79
0.33,0.0
1.0,1.0
0.0,0.0
0.62,0.88
0.08,0.0
1.0,0.0
0.2,0.0
0.22,0.5
0.43,0.0
0.78,0.71
0.62,0.75
0.25,0.0
0.67,0.43
0.56,1.0
0.67,0.67
0.77,0.45
0.25,0.0
0.63,0.6
0.7,0.43
0.5,0.5
0.73,0.38
0.59,0.6
0.88,1.0
0.8,0.25
0.25,0.0
0.73,0.09
